country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Bangladesh,BD,BGD,50,Egg and/or flesh foods consumption (6-23months),2018,70.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Egg and/or flesh foods consumption (6-23months),2019,58.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Egg and/or flesh foods consumption (6-23months),2022,60.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Egg and/or flesh foods consumption (6-23months),2011,54.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Egg and/or flesh foods consumption (6-23months),2014,54.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Egg and/or flesh foods consumption (6-23months),2018,68.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Egg and/or flesh foods consumption (6-23months),2019,61.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Egg and/or flesh foods consumption (6-23months),2022,63.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Egg and/or flesh foods consumption (6-23months),2011,53.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Egg and/or flesh foods consumption (6-23months),2014,55.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Egg and/or flesh foods consumption (6-23months),2018,69.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Egg and/or flesh foods consumption (6-23months),2019,60.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Egg and/or flesh foods consumption (6-23months),2022,62.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Belarus,BY,BLR,112,Egg and/or flesh foods consumption (6-23months),2019,94.0,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Belarus,BY,BLR,112,Egg and/or flesh foods consumption (6-23months),2019,91.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Belarus,BY,BLR,112,Egg and/or flesh foods consumption (6-23months),2019,92.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Belize,BZ,BLZ,84,Egg and/or flesh foods consumption (6-23months),2015,72.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Belize,BZ,BLZ,84,Egg and/or flesh foods consumption (6-23months),2015,72.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Belize,BZ,BLZ,84,Egg and/or flesh foods consumption (6-23months),2015,72.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Egg and/or flesh foods consumption (6-23months),2012,37.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Egg and/or flesh foods consumption (6-23months),2014,52.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Egg and/or flesh foods consumption (6-23months),2018,52.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Egg and/or flesh foods consumption (6-23months),2021,47.0,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Egg and/or flesh foods consumption (6-23months),2012,40.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Egg and/or flesh foods consumption (6-23months),2014,54.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Egg and/or flesh foods consumption (6-23months),2018,51.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Egg and/or flesh foods consumption (6-23months),2021,47.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Egg and/or flesh foods consumption (6-23months),2012,39.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Egg and/or flesh foods consumption (6-23months),2014,53.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Egg and/or flesh foods consumption (6-23months),2018,51.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
