country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Ivory Coast,CI,CIV,384,Egg and/or flesh foods consumption (6-23months),2016,63.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Egg and/or flesh foods consumption (6-23months),2021,56.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Egg and/or flesh foods consumption (6-23months),2012,56.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Egg and/or flesh foods consumption (6-23months),2016,62.0,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Egg and/or flesh foods consumption (6-23months),2021,57.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Egg and/or flesh foods consumption (6-23months),2013,52.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Egg and/or flesh foods consumption (6-23months),2017,46.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Egg and/or flesh foods consumption (6-23months),2013,51.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Egg and/or flesh foods consumption (6-23months),2017,47.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Egg and/or flesh foods consumption (6-23months),2013,52.0,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Egg and/or flesh foods consumption (6-23months),2017,46.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Egg and/or flesh foods consumption (6-23months),2007,73.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Egg and/or flesh foods consumption (6-23months),2013,65.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Egg and/or flesh foods consumption (6-23months),2014,69.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Egg and/or flesh foods consumption (6-23months),2019,66.0,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Egg and/or flesh foods consumption (6-23months),2007,73.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Egg and/or flesh foods consumption (6-23months),2013,67.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Egg and/or flesh foods consumption (6-23months),2014,67.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Egg and/or flesh foods consumption (6-23months),2019,71.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Egg and/or flesh foods consumption (6-23months),2007,73.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Egg and/or flesh foods consumption (6-23months),2013,66.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Egg and/or flesh foods consumption (6-23months),2014,68.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Egg and/or flesh foods consumption (6-23months),2019,68.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ecuador,EC,ECU,218,Egg and/or flesh foods consumption (6-23months),2019,71.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ecuador,EC,ECU,218,Egg and/or flesh foods consumption (6-23months),2023,88.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ecuador,EC,ECU,218,Egg and/or flesh foods consumption (6-23months),2019,71.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ecuador,EC,ECU,218,Egg and/or flesh foods consumption (6-23months),2023,88.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ecuador,EC,ECU,218,Egg and/or flesh foods consumption (6-23months),2019,71.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ecuador,EC,ECU,218,Egg and/or flesh foods consumption (6-23months),2023,88.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Egg and/or flesh foods consumption (6-23months),2005,64.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Egg and/or flesh foods consumption (6-23months),2008,66.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Egg and/or flesh foods consumption (6-23months),2014,53.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Egg and/or flesh foods consumption (6-23months),2021,61.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Egg and/or flesh foods consumption (6-23months),2005,64.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Egg and/or flesh foods consumption (6-23months),2008,65.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Egg and/or flesh foods consumption (6-23months),2014,52.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Egg and/or flesh foods consumption (6-23months),2021,58.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Egg and/or flesh foods consumption (6-23months),2005,64.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Egg and/or flesh foods consumption (6-23months),2008,65.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Egg and/or flesh foods consumption (6-23months),2014,53.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Egg and/or flesh foods consumption (6-23months),2021,60.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
El Salvador,SV,SLV,222,Egg and/or flesh foods consumption (6-23months),2014,68.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
El Salvador,SV,SLV,222,Egg and/or flesh foods consumption (6-23months),2014,67.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
El Salvador,SV,SLV,222,Egg and/or flesh foods consumption (6-23months),2014,68.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Egg and/or flesh foods consumption (6-23months),2006,59.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Egg and/or flesh foods consumption (6-23months),2014,67.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Egg and/or flesh foods consumption (6-23months),2021,52.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Egg and/or flesh foods consumption (6-23months),2006,63.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Egg and/or flesh foods consumption (6-23months),2014,70.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Egg and/or flesh foods consumption (6-23months),2021,47.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Egg and/or flesh foods consumption (6-23months),2006,61.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Egg and/or flesh foods consumption (6-23months),2014,68.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Egg and/or flesh foods consumption (6-23months),2021,49.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Egg and/or flesh foods consumption (6-23months),2005,11.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Egg and/or flesh foods consumption (6-23months),2011,12.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Egg and/or flesh foods consumption (6-23months),2016,21.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Egg and/or flesh foods consumption (6-23months),2019,25.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Egg and/or flesh foods consumption (6-23months),2005,10.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Egg and/or flesh foods consumption (6-23months),2011,13.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Egg and/or flesh foods consumption (6-23months),2016,22.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Egg and/or flesh foods consumption (6-23months),2019,23.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Egg and/or flesh foods consumption (6-23months),2005,11.0,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Egg and/or flesh foods consumption (6-23months),2011,13.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Egg and/or flesh foods consumption (6-23months),2016,21.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Egg and/or flesh foods consumption (6-23months),2019,24.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Fiji,FJ,FJI,242,Egg and/or flesh foods consumption (6-23months),2021,72.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Fiji,FJ,FJI,242,Egg and/or flesh foods consumption (6-23months),2021,73.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Fiji,FJ,FJI,242,Egg and/or flesh foods consumption (6-23months),2021,72.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gabon,GA,GAB,266,Egg and/or flesh foods consumption (6-23months),2012,54.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gabon,GA,GAB,266,Egg and/or flesh foods consumption (6-23months),2020,56.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gabon,GA,GAB,266,Egg and/or flesh foods consumption (6-23months),2012,58.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gabon,GA,GAB,266,Egg and/or flesh foods consumption (6-23months),2020,58.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gabon,GA,GAB,266,Egg and/or flesh foods consumption (6-23months),2012,56.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gabon,GA,GAB,266,Egg and/or flesh foods consumption (6-23months),2020,57.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Egg and/or flesh foods consumption (6-23months),2013,43.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Egg and/or flesh foods consumption (6-23months),2018,51.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Egg and/or flesh foods consumption (6-23months),2020,53.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Egg and/or flesh foods consumption (6-23months),2013,41.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Egg and/or flesh foods consumption (6-23months),2018,52.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Egg and/or flesh foods consumption (6-23months),2020,50.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Egg and/or flesh foods consumption (6-23months),2013,42.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Egg and/or flesh foods consumption (6-23months),2018,52.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Egg and/or flesh foods consumption (6-23months),2020,51.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Georgia,GE,GEO,268,Egg and/or flesh foods consumption (6-23months),2018,63.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Georgia,GE,GEO,268,Egg and/or flesh foods consumption (6-23months),2018,58.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Georgia,GE,GEO,268,Egg and/or flesh foods consumption (6-23months),2018,61.0,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Egg and/or flesh foods consumption (6-23months),2008,66.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Egg and/or flesh foods consumption (6-23months),2011,64.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Egg and/or flesh foods consumption (6-23months),2014,58.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Egg and/or flesh foods consumption (6-23months),2017,52.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Egg and/or flesh foods consumption (6-23months),2022,64.0,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Egg and/or flesh foods consumption (6-23months),2008,69.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Egg and/or flesh foods consumption (6-23months),2011,63.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Egg and/or flesh foods consumption (6-23months),2014,58.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Egg and/or flesh foods consumption (6-23months),2017,52.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Egg and/or flesh foods consumption (6-23months),2022,60.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Egg and/or flesh foods consumption (6-23months),2008,68.0,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Egg and/or flesh foods consumption (6-23months),2011,64.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Egg and/or flesh foods consumption (6-23months),2014,58.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Egg and/or flesh foods consumption (6-23months),2017,52.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Egg and/or flesh foods consumption (6-23months),2022,62.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guatemala,GT,GTM,320,Egg and/or flesh foods consumption (6-23months),2015,67.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guatemala,GT,GTM,320,Egg and/or flesh foods consumption (6-23months),2015,66.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guatemala,GT,GTM,320,Egg and/or flesh foods consumption (6-23months),2015,67.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Egg and/or flesh foods consumption (6-23months),2012,23.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Egg and/or flesh foods consumption (6-23months),2016,34.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Egg and/or flesh foods consumption (6-23months),2018,31.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Egg and/or flesh foods consumption (6-23months),2012,20.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Egg and/or flesh foods consumption (6-23months),2016,31.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Egg and/or flesh foods consumption (6-23months),2018,32.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Egg and/or flesh foods consumption (6-23months),2012,21.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Egg and/or flesh foods consumption (6-23months),2016,32.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Egg and/or flesh foods consumption (6-23months),2018,31.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea-Bissau,GW,GNB,624,Egg and/or flesh foods consumption (6-23months),2014,46.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea-Bissau,GW,GNB,624,Egg and/or flesh foods consumption (6-23months),2019,38.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea-Bissau,GW,GNB,624,Egg and/or flesh foods consumption (6-23months),2014,44.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea-Bissau,GW,GNB,624,Egg and/or flesh foods consumption (6-23months),2019,31.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea-Bissau,GW,GNB,624,Egg and/or flesh foods consumption (6-23months),2014,45.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea-Bissau,GW,GNB,624,Egg and/or flesh foods consumption (6-23months),2019,35.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Egg and/or flesh foods consumption (6-23months),2009,72.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Egg and/or flesh foods consumption (6-23months),2014,65.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Egg and/or flesh foods consumption (6-23months),2019,62.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Egg and/or flesh foods consumption (6-23months),2009,68.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Egg and/or flesh foods consumption (6-23months),2014,63.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Egg and/or flesh foods consumption (6-23months),2019,60.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Egg and/or flesh foods consumption (6-23months),2009,70.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Egg and/or flesh foods consumption (6-23months),2014,64.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Egg and/or flesh foods consumption (6-23months),2019,61.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Egg and/or flesh foods consumption (6-23months),2006,36.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Egg and/or flesh foods consumption (6-23months),2012,38.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Egg and/or flesh foods consumption (6-23months),2017,37.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Egg and/or flesh foods consumption (6-23months),2006,39.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Egg and/or flesh foods consumption (6-23months),2012,37.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Egg and/or flesh foods consumption (6-23months),2017,33.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Egg and/or flesh foods consumption (6-23months),2006,38.0,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Egg and/or flesh foods consumption (6-23months),2012,38.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Egg and/or flesh foods consumption (6-23months),2017,35.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Egg and/or flesh foods consumption (6-23months),2006,78.0,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Egg and/or flesh foods consumption (6-23months),2012,76.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Egg and/or flesh foods consumption (6-23months),2019,74.0,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Egg and/or flesh foods consumption (6-23months),2006,76.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Egg and/or flesh foods consumption (6-23months),2012,75.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Egg and/or flesh foods consumption (6-23months),2019,71.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Egg and/or flesh foods consumption (6-23months),2006,77.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Egg and/or flesh foods consumption (6-23months),2012,76.0,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Egg and/or flesh foods consumption (6-23months),2019,72.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Egg and/or flesh foods consumption (6-23months),2006,11.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Egg and/or flesh foods consumption (6-23months),2015,18.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Egg and/or flesh foods consumption (6-23months),2017,16.0,Female,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Egg and/or flesh foods consumption (6-23months),2020,21.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Egg and/or flesh foods consumption (6-23months),2006,11.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Egg and/or flesh foods consumption (6-23months),2015,17.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Egg and/or flesh foods consumption (6-23months),2017,13.3,Male,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Egg and/or flesh foods consumption (6-23months),2020,21.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Egg and/or flesh foods consumption (6-23months),2006,11.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Egg and/or flesh foods consumption (6-23months),2015,17.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Egg and/or flesh foods consumption (6-23months),2017,14.6,Total,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Egg and/or flesh foods consumption (6-23months),2020,21.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Indonesia,ID,IDN,360,Egg and/or flesh foods consumption (6-23months),2012,69.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Indonesia,ID,IDN,360,Egg and/or flesh foods consumption (6-23months),2017,72.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Indonesia,ID,IDN,360,Egg and/or flesh foods consumption (6-23months),2012,65.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Indonesia,ID,IDN,360,Egg and/or flesh foods consumption (6-23months),2017,70.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Indonesia,ID,IDN,360,Egg and/or flesh foods consumption (6-23months),2012,67.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Indonesia,ID,IDN,360,Egg and/or flesh foods consumption (6-23months),2017,71.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Iraq,IQ,IRQ,368,Egg and/or flesh foods consumption (6-23months),2018,63.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Iraq,IQ,IRQ,368,Egg and/or flesh foods consumption (6-23months),2018,66.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Iraq,IQ,IRQ,368,Egg and/or flesh foods consumption (6-23months),2018,64.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jamaica,JM,JAM,388,Egg and/or flesh foods consumption (6-23months),2022,74.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jamaica,JM,JAM,388,Egg and/or flesh foods consumption (6-23months),2022,69.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jamaica,JM,JAM,388,Egg and/or flesh foods consumption (6-23months),2022,71.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Egg and/or flesh foods consumption (6-23months),2007,66.0,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Egg and/or flesh foods consumption (6-23months),2012,61.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Egg and/or flesh foods consumption (6-23months),2017,56.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Egg and/or flesh foods consumption (6-23months),2019,68.0,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Egg and/or flesh foods consumption (6-23months),2023,62.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Egg and/or flesh foods consumption (6-23months),2007,65.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Egg and/or flesh foods consumption (6-23months),2012,59.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Egg and/or flesh foods consumption (6-23months),2017,62.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Egg and/or flesh foods consumption (6-23months),2019,55.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Egg and/or flesh foods consumption (6-23months),2023,62.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
